Timestamp,Team #?,Match #?,Starting location?,"AUTO scoring 
(uncheck all but final score before continuing) [Speaker score ✅]","AUTO scoring 
(uncheck all but final score before continuing) [Speaker miss ❌]","AUTO scoring 
(uncheck all but final score before continuing) [Amp score ✅]","AUTO scoring 
(uncheck all but final score before continuing) [Amp miss ❌]",# Fouls?,# Tech fouls?,"Tele-op scoring 
(uncheck all but final score before continuing) [Amp score ✅]","Tele-op scoring 
(uncheck all but final score before continuing) [Amp miss ❌]","Tele-op scoring 
(uncheck all but final score before continuing) [Speaker score ✅]","Tele-op scoring 
(uncheck all but final score before continuing) [Speaker miss ❌]",# Fouls?,# Tech fouls?,Climb?,Scored trap?,Harmony? (2 robots on the same chain),Driver performance?,How much defence was played ON this robot?,How effective the defense against this robot?,Did the robot break on the field?,Other notes?,Did this robot PLAY defence? If so how effectively?,Tele-op [Note passes],AUTO [Note passes],Tried center line pickup?,Successful pickup from center line?,Successful Exit STARTING ZONE
3/16/2024 23:09:53,1719,1,Center,,,,,,,,,1,,,,Successful attempt,No attempt,Successful attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,No,No,No
3/16/2024 23:44:14,686,1,,1,3,,,,,4,,2,2,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Somewhat effective,No,,N/A,,,Yes,Yes,Yes
3/16/2024 23:46:49,116,1,Center,,,,,,,,,2,3,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,"slow, timid",N/A,,,,,
3/16/2024 23:48:36,8726,1,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,,N/A,,,,,
3/16/2024 23:50:44,4464,1,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,,,
3/16/2024 23:51:55,2377,1,Center,1,,,,,,4,,1,,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,,N/A,,,,,Yes
3/16/2024 23:11:03,8622,2,Amp,,1,,,,,,,5,,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,made 100% shots in teleop,N/A,,,,,
3/16/2024 23:45:04,1418,2,Center,1,1,,,,,1,2,,,,,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",Heavy,Somewhat effective,No,,N/A,,,,,
3/16/2024 23:47:51,5841,2,Center,,1,,,,,,,,3,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,"note stuck in wheel, slow speed shooter",N/A,,,,,
3/16/2024 23:49:08,1111,2,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,,,
3/16/2024 23:53:30,2199,2,Center,1,,,,,,,,3,2,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,,,
3/16/2024 23:12:02,5243,3,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,moved only 1 foot,N/A,,,,,
3/16/2024 23:49:56,614,3,Center,,,,,,,3,1,,2,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,Yes,No,Yes
3/16/2024 23:56:12,1629,3,Amp,1,1,,,,,,,6,1,,,Failed attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Somewhat effective,No,,N/A,,,Yes,Yes,Yes
3/16/2024 23:13:20,9072,4,,4,,,,,,,,9,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,100% accurate and was very fast,N/A,,,No,No,No
3/16/2024 23:37:04,2537,4,,,,,,,,2,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,Somewhat effective,Yes,,N/A,,,,,
3/16/2024 23:43:20,6326,4,Amp,1,,,,,,2,1,,,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,1,,Yes,No,Yes
3/16/2024 23:47:18,3748,4,Source,1,1,,,,,,,6,,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Not effective,No,,N/A,,,No,No,Yes
