EventKey,MatchLevel,MatchNumber,Alliiance,Alliance Index,Team Number,Team Name,Auto-L3Make,Auto-L3Miss,Auto-L2Make,Auto-L2Miss,Auto-TroughMake,Auto-TroughMiss,Auto-RemovedAlgaeMake,Auto-RemovedAlgaeMiss,Auto-ScoredProcessorMake,Auto-ScoredProcessorMiss,Auto-ScoredBargeMake,Auto-ScoredBargeMiss,Tele-Op-L4Make,Tele-Op-L4Miss,Tele-Op-L3Make,Tele-Op-L3Miss,Tele-Op-L2Make,Tele-Op-L2Miss,Tele-Op-TroughMake,Tele-Op-TroughMiss,Tele-Op-RemovedAlgaeMake,Tele-Op-RemovedAlgaeMiss,Tele-Op-ScoredProcessorMake,Tele-Op-ScoredProcessorMiss,Tele-Op-ScoredBargeMake,Tele-Op-ScoredBargeMiss,Climbing,Climb Attempt,DriverPerformance,DidTheyPLAYDefense?HowEffective?,WasDefensePlayedONThem?HowEffective?,Notes,ScouterName,ScoutedTime
2025chcmp,0,1,Blue,1,686,Bovine Intervention,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3,0,0,0,1,0,0,0,0,0,2,1,4,0,0,,Isaac Hassett,Sat Apr 05 2025 09:26:06 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,1,Blue,2,116,Epsilon Delta,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,4,1,2,1,2,0,0,"algae bot, pretty good",SP,Sat Apr 05 2025 09:26:52 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,1,Blue,3,540,TALON 540 Godwin Robotics,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Most fastest while maintaining the highest accuracy possible,DJ,Fri Apr 04 2025 13:07:30 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,1,Blue,3,540,TALON 540 Godwin Robotics,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,,DJ,Sat Apr 05 2025 09:26:14 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,1,Red,1,1111,Power Hawks Robotics,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Can’t get corals at station well,Megan,Fri Apr 04 2025 13:06:52 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,1,Red,1,1111,Power Hawks Robotics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Straight to defense but isn’t very aggressive,Megan,Sat Apr 05 2025 09:26:22 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,1,Red,2,2534,Lumberjack Robotics,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Field disabled,LW,Fri Apr 04 2025 13:08:24 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,1,Red,2,2534,Lumberjack Robotics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,3,0,4,0,1,0,0,0,0,0,0,0,4,0,0,They scored in the lower parts of the reef,Jaxon  Spoon,Sat Apr 05 2025 09:26:53 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,1,Red,3,8590,Cavbotics,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,1,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0,Very unstable robot,Aidan,Fri Apr 04 2025 13:08:04 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,1,Red,3,8590,Cavbotics,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,1,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0,Very unstable robot,Aidan,Fri Apr 04 2025 13:08:14 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,2,Blue,1,122,NASA Knights,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,Doesn't score well. Only coral and can only get coral from station.,Isaac Hassett,Fri Apr 04 2025 13:52:41 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,2,Blue,2,10224,MAV MECHANICS (NASA),0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,0,"really slow algae bot, only scored once or twice",SP,Fri Apr 04 2025 13:54:46 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,2,Blue,3,2199,Robo-Lions,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,DJ,Fri Apr 04 2025 13:52:20 GMT-0400 (Eastern Daylight Time)
