"Shifts Auto Primary Role","Shifts Auto Secondary Role","Shifts Auto Fuel Pct","Shifts Auto Starting Position","Shifts Auto Climb","Shifts Transition Primary Role","Shifts Transition Secondary Role","Shifts Transition Fuel Pct","Shifts Transition Defense On","Shifts Shift1 Primary Role","Shifts Shift1 Secondary Role","Shifts Shift1 Fuel Pct","Shifts Shift1 Defense On","Shifts Shift2 Primary Role","Shifts Shift2 Secondary Role","Shifts Shift2 Fuel Pct","Shifts Shift2 Defense On","Shifts Shift3 Primary Role","Shifts Shift3 Secondary Role","Shifts Shift3 Fuel Pct","Shifts Shift3 Defense On","Shifts Shift4 Primary Role","Shifts Shift4 Secondary Role","Shifts Shift4 Fuel Pct","Shifts Shift4 Defense On","Shifts Endgame Primary Role","Shifts Endgame Secondary Role","Shifts Endgame Fuel Pct","Shifts Endgame Defense On","Shifts Endgame Climb"," Id"," Hash","  V","Alliance","Createdat","Event Key","Match Key","Match Number","No Show","Overall Shooter","Overall Passer","Overall Intake","Overall Driver","Overall Defense Avoidance","Overall Defense","Overall Notes","Scouter","Team Number","Updatedat"
"Intake from Neutral Zone","Intake from Neutral Zone","","Left Bump","Not Attempted","Score","Score","50","None","Intake from Neutral Zone","Score","30","None","Intake from Neutral Zone","Pass","","None","Score","Score","30","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","30","None","Not Attempted","69daca456596dd6511f9c7f5","67de2011ebd4d8a5201f1c9f5f7baaca722fde638f9a49111ad6466357e8c503","","red","2026-04-11T22:25:09.829Z","2026chcmp","2026chcmp_qm93","93","","","","","3","","","","Sai","346","2026-04-11T22:25:09.829Z"
"Score","None","40","Hub","Not Attempted","Intake from Neutral Zone","None","20","None","Score","Intake from Neutral Zone","30","None","Intake from Neutral Zone","Pass","30","None","Score","None","40","None","Intake from Neutral Zone","Pass","40","None","Score","None","40","None","Not Attempted","69dac7536596dd6511f9c73c","598b421739dd499dc826954c57f7f5dcda21aa88c185ddc2a05f08ac0462a61b","","red","2026-04-11T22:12:35.690Z","2026chcmp","2026chcmp_qm93","93","","3","","3","3","","","Average not to good not too bad.","Snithik","3939","2026-04-11T22:12:36.027Z"
"Intake from Neutral Zone","Score","","Left Trench","Not Attempted","Score","None","80","None","Intake from Neutral Zone","None","","None","Score","None","80","None","Defense","Intake from Neutral Zone","","None","Score","None","70","None","Score","Intake from Neutral Zone","20","None","Not Attempted","69dac7366596dd6511f9c738","061e946f180150c2ceb08d72de104aa92a4afbe240320abb0c43f6cf0cce0bd0","","blue","2026-04-11T22:12:06.710Z","2026chcmp","2026chcmp_qm93","93","","4","","3","3","","","Good shooter","Nidhish","122","2026-04-11T22:12:06.710Z"
"Score","Idle","20","Left Trench","Not Attempted","Pass","Pass","","None","Intake from Neutral Zone","Score","","None","Score","Intake from Neutral Zone","30","None","Intake from Neutral Zone","Pass","","None","Score","Score","20","Moderate","Intake from Neutral Zone","Score","40","Moderate","Not Attempted","69dac70e6596dd6511f9c732","a55b4408e8a6260ad44755618048269a103a5eae9449e84ef8dc0862aa7f12cb","","blue","2026-04-11T22:11:26.268Z","2026chcmp","2026chcmp_qm93","93","","3","4","3","3","2","3","","Falco Carey","4472","2026-04-11T22:11:26.268Z"
"Score","None","20","Hub","Not Attempted","Score","None","20","None","Score","None","20","None","Intake from Neutral Zone","None","","None","Score","None","30","None","Defense","None","20","None","Score","None","20","None","Not Attempted","69dac3da6596dd6511f9c694","80428bde9ec67a1027137c14dd9b3161a7be86f971372d87e33ecaca98da8694","","red","2026-04-11T21:57:46.913Z","2026chcmp","2026chcmp_qm92","92","","3","","3","4","","4","","Arihan","2068","2026-04-11T21:57:46.913Z"
"Score","None","10","Right Trench","Not Attempted","Score","Score","10","None","Idle","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Not Attempted","69dac3aa6596dd6511f9c68e","9997a8ebf347d2b3c77e9f4d2d3de2116d3e2e1b0fd87a8ac6078d3b91038082","","red","2026-04-11T21:56:58.095Z","2026chcmp","2026chcmp_qm92","92","","","","","3","","","","Sai","2890","2026-04-11T21:56:58.095Z"
"Intake from Neutral Zone","Score","70","Left Trench","Not Attempted","Score","None","80","None","Score","Pass","80","None","Intake from Neutral Zone","None","80","None","Score","None","70","None","Intake from Neutral Zone","Pass","70","None","Score","None","70","None","Not Attempted","69dac3a86596dd6511f9c68d","33b2b4e08041824e985d039aceb835b774d908838c2c44b15334c048759bdabd","","red","2026-04-11T21:56:56.610Z","2026chcmp","2026chcmp_qm92","92","","4","5","4","4","","","Really good got a lot of points solo","Snithik","5549","2026-04-11T21:56:56.610Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69dac39c6596dd6511f9c689","3930ba55973a561aeb6374232327a9ab4b49d54ef8c8a09784ed569c78195254","","blue","2026-04-11T21:56:44.726Z","2026chcmp","2026chcmp_qm93","93","true","","","","","","","","Nidhish","122","2026-04-11T21:56:44.726Z"
"Intake from Neutral Zone","Score","50","Right Trench","Not Attempted","Score","None","60","None","Intake from Neutral Zone","Pass","","None","Score","None","40","None","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","Pass","","None","Score","None","50","None","Not Attempted","69dac39c6596dd6511f9c688","d00058fe08928d87d1f3000cb7669a0b8a4e8f6cf691b1567325b5f22783ab56","","blue","2026-04-11T21:56:44.390Z","2026chcmp","2026chcmp_qm92","92","","5","3","3","4","","","Great shooter and strategy. Good passing.","Nidhish","619","2026-04-11T21:56:44.390Z"
"Intake from Neutral Zone","Score","80","Left Trench","Not Attempted","Score","Score","80","None","Intake from Neutral Zone","Pass","","Light","Score","Intake from Neutral Zone","70","Moderate","Intake from Neutral Zone","Pass","","None","Score","Score","70","None","Score","Intake from Neutral Zone","70","None","Not Attempted","69dac3946596dd6511f9c687","15130a51f9ae5cb7a9e52918022e83cd987b256eaa73520716eb9dcfbc726c2f","","blue","2026-04-11T21:56:36.102Z","2026chcmp","2026chcmp_qm92","92","","5","5","5","4","1","","","Falco Carey","449","2026-04-11T21:56:36.102Z"
