,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Match Number,Alliance,Robot #,Team,Has Entry,No Show,Starting Position,Auto Primary Role,Auto Secondary Role,Auto Fuel %,Auto Fuel % Alliance,Auto Fuel Alliance,Auto Fuel Team,Auto % Shooting,Auto Max Fuel Possible,Won Auto,Transition Primary Role,Transition Secondary Role,Transition Fuel %,Transition Fuel % Alliance,Transition Fuel Alliance,Transition Fuel Team,Transition % Shooting,Transition Max Fuel Possible,Shift 1 Primary Role,Shift 1 Secondary Role,Shift 1 Fuel %,Shift 1 Fuel % Alliance,Shift 1 Fuel Alliance,Shift 1 Fuel Team,Shift 1 % Shooting,Shift 1 Max Fuel Possible,Shift 2 Primary Role,Shift 2 Secondary Role,Shift 2 Fuel %,Shift 2 Fuel % Alliance,Shift 2 Fuel Alliance,Shift 2 Fuel Team,Shift 2 % Shooting,Shift 2 Max Fuel Possible,Shift 3 Primary Role,Shift 3 Secondary Role,Shift 3 Fuel %,Shift 3 Fuel % Alliance,Shift 3 Fuel Alliance,Shift 3 Fuel Team,Shift 3 % Shooting,Shift 3 Max Fuel Possible,Shift 4 Primary Role,Shift 4 Secondary Role,Shift 4 Fuel %,Shift 4 Fuel % Alliance,Shift 4 Fuel Alliance,Shift 4 Fuel Team,Shift 4 % Shooting,Shift 4 Max Fuel Possible,Endgame Primary Role,Endgame Secondary Role,Endgame Fuel %,Endgame Fuel % Alliance,Endgame Fuel Alliance,Endgame Fuel Team,Endgame % Shooting,Endgame Max Fuel Possible,Tele-Op Max Fuel Possible,Total Fuel Scored,Auto Climb Attempt,Auto Climb Success,Tele-Op Climb Attempt,Tele-Op Climb Success,Shooter Rating,Passer Rating,Intake Rating,Driver Rating,Defense Avoidance Rating,Defense Rating,Notes,Recent Match
1,Blue,1,449,1,,Right Trench,Intake from Neutral Zone,Score,20%,100%,118,23.60,33.3%,70.87,TRUE,Score,Score,80%,100%,53,42.40,100%,42.40,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,40%,100%,140,56.00,100%,56.00,Pass,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,20%,100%,65,13.00,100%,13.00,Intake from Neutral Zone,Score,30%,100%,32,9.60,33.3%,28.83,211.10,144.60,Not Attempted,None,Not Attempted,None,4,4,5,5,2,0,Goated,FALSE
1,Blue,2,540,1,,Hub,Score,Idle,20%,100%,118,23.60,66.7%,35.38,TRUE,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,53,0.00,0%,0.00,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,10%,100%,140,14.00,100%,14.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Defense,10%,100%,65,6.50,66.7%,9.75,Defense,Defense,0%,100%,32,0.00,0%,0.00,59.13,44.10,Not Attempted,None,Not Attempted,None,2,0,3,4,1,4,risky holding ,FALSE
1,Blue,3,9072,0,,,,,0%,100%,118,0.00,0%,0.00,TRUE,,,0%,100%,53,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,140,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,65,0.00,0%,0.00,,,0%,100%,32,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
1,Red,1,1719,1,,Hub,Idle,None,0%,70%,75,0.00,0%,0.00,FALSE,Idle,None,0%,90%,14,0.00,0%,0.00,Defense,None,0%,90%,115,0.00,0%,0.00,Defense,None,0%,110%,0,0.00,0%,0.00,Defense,None,0%,0%,85,28.33,0%,0.00,Defense,None,0%,90%,0,0.00,0%,0.00,Score,Pass,10%,110%,39,3.55,66.7%,5.32,5.32,31.88,Not Attempted,None,Not Attempted,None,1,0,2,3,0,3,"Slow, not good",FALSE
1,Red,2,2106,1,,Right Trench,Score,Intake from Neutral Zone,50%,70%,75,53.57,66.7%,80.32,FALSE,Score,Intake from Neutral Zone,60%,90%,14,9.33,66.7%,13.99,Intake from Neutral Zone,None,60%,90%,115,76.67,0%,0.00,Score,None,80%,110%,0,0.00,100%,0.00,Intake from Neutral Zone,Pass,0%,0%,85,28.33,0%,0.00,Score,None,70%,90%,0,0.00,100%,0.00,Score,None,80%,110%,39,28.36,100%,28.36,122.67,196.27,Not Attempted,None,Not Attempted,None,5,5,3,4,0,0,,FALSE
1,Red,3,401,1,,Left Bump,Score,None,20%,70%,75,21.43,100%,21.43,FALSE,Score,None,30%,90%,14,4.67,100%,4.67,Score,None,30%,90%,115,38.33,100%,38.33,Score,None,30%,110%,0,0.00,100%,0.00,Idle,None,0%,0%,85,28.33,0%,0.00,Idle,None,20%,90%,0,0.00,0%,0.00,Idle,None,20%,110%,39,7.09,0%,0.00,64.43,99.85,Not Attempted,None,Not Attempted,None,4,0,3,3,0,0,,FALSE
2,Blue,1,2890,1,,Right Bump,Idle,Idle,0%,100%,20,0.00,0%,0.00,FALSE,Intake from Neutral Zone,Score,20%,100%,0,0.00,33.3%,0.00,Intake from Neutral Zone,Pass,0%,100%,53,0.00,0%,0.00,Score,Score,20%,100%,0,0.00,100%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,66,0.00,0%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,20%,100%,73,14.60,100%,14.60,14.60,14.60,Not Attempted,None,Not Attempted,None,3,2,4,3,0,0,,FALSE
2,Blue,2,3258,1,,Left Trench,Idle,Idle,0%,100%,20,0.00,0%,0.00,FALSE,Intake from Neutral Zone,Score,10%,100%,0,0.00,33.3%,0.00,Pass,Pass,0%,100%,53,0.00,0%,0.00,Pass,Pass,0%,100%,0,0.00,0%,0.00,Defense,Pass,0%,100%,66,0.00,0%,0.00,Pass,Pass,0%,100%,0,0.00,0%,0.00,Pass,Pass,0%,100%,73,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,1,3,1,3,0,2,,FALSE
2,Blue,3,8592,0,,,,,0%,100%,20,0.00,0%,0.00,FALSE,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,53,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,66,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,73,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
2,Red,1,3748,1,,Left Trench,Intake from Neutral Zone,Score,40%,110%,37,13.45,33.3%,40.40,TRUE,Intake from Neutral Zone,None,0%,0%,9,3.00,0%,0.00,Pass,None,0%,0%,0,0.00,0%,0.00,Score,None,60%,130%,67,30.92,100%,30.92,Pass,Intake from Neutral Zone,0%,0%,0,0.00,0%,0.00,Score,None,60%,130%,51,23.54,100%,23.54,Idle,None,0%,70%,20,0.00,0%,0.00,94.87,70.92,Not Attempted,None,Not Attempted,None,3,4,3,5,0,0,"Not bad, idle in end game",FALSE
